H_BUNDLE             | 10 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_CNT_ORG            | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_CONTRACT           | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
NB                   | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
NB_CANCEL            | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
NB_MOP               | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
NB_PREV              | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
NB_TRN               | 10 | 0 | Numeric | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_PFOLIO             | 15 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_SECURITY           | 15 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
EN_CREDIT            | 20 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
EN_DEBIT             | 20 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
EN_COMMENT           | 50 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
H_RULE_LB            | 80 | 0 | Char | ACC_DIV_ENTRIES.REP  | ACC_DIV_ENTRIES      | User Additional | Accounting (Reporting)
