TP_DTEPMT2           | 8 | 0 | Date | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_DTETRN            | 8 | 0 | Date | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_ENTITY            | 10 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_FXBASE            | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_FXUND             | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_IQTY              | 24 | 8 | American | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_IQTYS             | 24 | 8 | American | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_MOPLST            | 1 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_NBLTI             | 10 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_NOMCUR            | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_NOMINAL           | 19 | 2 | American | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_PFOLIO            | 15 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_PRICE             | 23 | 6 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_QTYEQ             | 24 | 8 | American | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_QTYEQS            | 24 | 8 | American | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_SMAMT             | 16 | 2 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_SMCUR             | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_SMRTE             | 9 | 4 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_STATUS2           | 10 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_TRADER            | 10 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_TRNTYPE           | 30 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_TYPO              | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TP_VALSTAT           | 4 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TRN_FMLY             | 5 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TRN_GRP              | 5 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
TRN_TYPE             | 5 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
UCALL_END            | 8 | 0 | Date | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_BRH_CONV           | 15 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_BUSINESS           | 20 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
U_CALL_DTE           | 8 | 0 | Date | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
