CG_CS_CAP            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_CS_REV            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_FIN               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_MV_CAP            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_MV_REV            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_PVE               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CNT_DSC              | 51 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CNT_TYPO             | 21 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
DISC_CG              | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
INSTRUMENT           | 20 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
MKT_CUR              | 4 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
NB                   | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
ORIG_NB              | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PFOLIO               | 15 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_ACC               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_ACCR              | 17 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_CAP_RE            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_CLEAN             | 20 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_INSCUR            | 3 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
PL_KEY1              | 30 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
POS_ID               | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
RSKSECTION           | 20 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
SC2_PL_MK            | 10 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
TP_TYPE              | 10 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS        
