AMAS_LIQ_DBF	 | 	(null)
AMAS_PHYS_DBF	 | 	(null)
AMAS_SEC_DBF	 | 	(null)
AMAUD_C_DBF	 | 	(null)
AMAUD_MK_DBF	 | 	(null)
AMAUD_S_DBF	 | 	(null)
ARCHLIST_DBF	 | 	(null)
ARC_CONTRIB_DBF	 | 	(null)
ASGCRVB_DBF	 | 	(null)
ASGCRVH_DBF	 | 	(null)
ASGDSSB_DBF	 | 	(null)
ASGDSSH_DBF	 | 	(null)
ASGRNDB_DBF	 | 	(null)
ASGRNDH_DBF	 | 	(null)
ASGROUTB_DBF	 | 	(null)
ASGROUTH_DBF	 | 	(null)
ASG_MREF_DBF	 | 	(null)
ASG_PRH_DBF	 | 	(null)
ASG_RESULT_DBF	 | 	(null)
ASSET_CLASSIFB_DBF	 | 	(null)
ASSET_CLASSIFH_DBF	 | 	(null)
ASSET_CLASSIFICATION_DBF	 | 	(null)
ASSIGN_DBF	 | 	(null)
AUD_AUDB_DBF	 | 	(null)
AUD_AUDH_DBF	 | 	(null)
AUD_CALB_DBF	 | 	(null)
AUD_CALH_DBF	 | 	(null)
AUD_CFGB_DBF	 | 	(null)
AUD_CFGH_DBF	 | 	(null)
AUD_CIB_DBF	 | 	(null)
AUD_CIH_DBF	 | 	(null)
AUD_CIRB_DBF	 | 	(null)
AUD_CIRH_DBF	 | 	(null)
AUD_CLOS_P_DBF	 | 	(null)
AUD_CLOS_P_ITEM_DBF	 | 	(null)
AUD_CMAB_DBF	 | 	(null)
AUD_CMAH_DBF	 | 	(null)
AUD_CNF_DBF	 | 	(null)
AUD_FIXB_DBF	 | 	(null)
AUD_FIXH_DBF	 | 	(null)
AUD_FNDB_DBF	 | 	(null)
AUD_FNDH_DBF	 | 	(null)
AUD_ITM_DBF	 | 	(null)
AUD_MTM_DBF	 | 	(null)
AUD_PTB_DBF	 | 	(null)
AUD_PTH_DBF	 | 	(null)
AUD_SE_LNK_DBF	 | 	(null)
AUD_SI_DBF	 | 	(null)
AUD_STGB_DBF	 | 	(null)
AUD_STGH_DBF	 | 	(null)
AUD_TAGB_DBF	 | 	(null)
AUD_TAGH_DBF	 | 	(null)
AUD_TRNB_DBF	 | 	(null)
AUD_TRNH_DBF	 | 	(null)
AUD_VAL_DBF	 | 	(null)
AUTO_STTL_DBF	 | 	(null)
AVP#AVP_AUDA_DBF	 | 	(null)
AVP#AVP_AUD_DBF	 | 	(null)
AVP#AVP_BDI_DBF	 | 	(null)
AVP#AVP_BDR_DBF	 | 	(null)
AVP#AVP_BDS_DBF	 | 	(null)
AVP#AVP_BDT_DBF	 | 	(null)
AVP#AVP_CBDI_DBF	 | 	(null)
AVP#AVP_CBDR_DBF	 | 	(null)
AVP#AVP_CBDS_DBF	 | 	(null)
AVP#AVP_CBDT_DBF	 | 	(null)
AVP#AVP_EFI_DBF	 | 	(null)
AVP#AVP_EFR_DBF	 | 	(null)
AVP#AVP_EFS_DBF	 | 	(null)
AVP#AVP_EFT_DBF	 | 	(null)
AVP#AVP_EOD_DBF	 | 	(null)
AVP#AVP_EOPI_DBF	 | 	(null)
AVP#AVP_EOPR_DBF	 | 	(null)
AVP#AVP_EOPS_DBF	 | 	(null)
AVP#AVP_EOPT_DBF	 | 	(null)
AVP#AVP_EQI_DBF	 | 	(null)
AVP#AVP_EQR_DBF	 | 	(null)
AVP#AVP_EQS_DBF	 | 	(null)
AVP#AVP_EQT_DBF	 | 	(null)
AVP#AVP_LFI_DBF	 | 	(null)
AVP#AVP_LFR_DBF	 | 	(null)
AVP#AVP_LFS_DBF	 | 	(null)
AVP#AVP_LFT_DBF	 | 	(null)
AVP#AVP_SFI_DBF	 | 	(null)
AVP#AVP_SFR_DBF	 | 	(null)
AVP#AVP_SFS_DBF	 | 	(null)
AVP#AVP_SFT_DBF	 | 	(null)
B000189_HBS	 | 	(null)
B002151_HBS	 | 	(null)
B003026_HBS	 | 	(null)
B004117_HBS	 | 	(null)
B006275_HBS	 | 	(null)
B016568_HBS	 | 	(null)
B020941_HBS	 | 	(null)
B021024_HBS	 | 	(null)
B021304_HBS	 | 	(null)
B022492_HBS	 | 	(null)
B022775_HBS	 | 	(null)
B023057_HBS	 | 	(null)
B023232_HBS	 | 	(null)
B023398_HBS	 | 	(null)
B023661_HBS	 | 	(null)
B023942_HBS	 | 	(null)
B024169_HBS	 | 	(null)
