  |   | MX_ACCPL_PRO_BF |   |   |   | NS ,NS ,Contextual Today  |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACCRUAL_PL_PRO_FEED |   |   |   |   |   |   |   | FEEDERS | ACCRUAL_PL_PRO.REP | 18 | DYN_ACCRUAL_PL_PRO   | Murex | Simulation | 14 |   |   | N | Consolidated DBF | NS | NS | Contextual Today |   |   |   |   |   | DMR_MX_IRD_Accrual_PL_Projection (c)                             | Feeder to feed table ACCRUAL_PL_PRO_REP | Batch of feeders to populate table ACCRUAL_PL_PRO_REP | MX_TODAY_MXPRESS_C   |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | AC02-AccountingJournal |   |   |   |   | SELECT M_LABEL_SUB, M_CLASS, M_MAPPING, M_LABEL  FROM TRN_ACA1_DBF WHERE M__INTID_ = 'MSMLP60056' |   |   | EXTRACTIONS | ACC_ACCOUNT.REP | 8 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Accounting Journal Extract between two Dates |  |  |  | 0 |  |  | 0 | 0
  |   | MX_ACC_ST_BF |   |   |   |   |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACC_ACCOUNT_FEED |   |   |   |   | SELECT M_LABEL_SUB, M_CLASS, M_MAPPING, M_LABEL  FROM TRN_ACA1_DBF WHERE M__INTID_ = 'MSMLP60056' |   |   | FEEDERS | ACC_ACCOUNT.REP | 8 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Feeder of table ACC_ACCOUNT_REP | Tables ACC_ACCOUNT_REP and ACC_RULES_REP are feeded |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | AC02-AccountingJournal |   |   |   |   |   |   |   | EXTRACTIONS | ACC_JOURNAL.REP | 22 | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting) | 18 |   |   | N | Detailed DBF | 9 | 8 | 9 |   |   |   |   |   |                                                                  | Accounting Journal Extract between two Dates |  |  |  | 0 |  |  | 0 | 0
  |   | MX_ACC_BF |   |   |   | NS ,NS ,Contextual Today  |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACC_JOURNAL_FEED |   |   |   |   |   |   |   | FEEDERS | ACC_JOURNAL.REP | 22 | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting) | 18 |   |   | N | Detailed DBF | 9 | 8 | 9 |   |   |   |   |   |                                                                  | Feeder of table ACC_JOURNAL_REP | Table ACC_JOURNAL_REP is feeded | ACCOUNTING_JOURNAL   |  | 0 |  |  | 0 | 0
  |   | MX_ACC_ST_BF |   |   |   |   |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACC_RULES_FEED |   |   |   |   | SELECT M_RULE_LB, M_RULE_NB FROM TRN_ACR1_DBF |   |   | FEEDERS | ACC_RULES.REP | 6 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Feeder of table ACC_RULES_REP | Tables ACC_ACCOUNT_REP and ACC_RULES_REP are feeded |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | AC02-AccountingJournal |   |   |   |   | SELECT M_RULE_LB, M_RULE_NB FROM TRN_ACR1_DBF |   |   | EXTRACTIONS | ACC_RULES.REP | 6 |   |  | SQL |   |   |   |   |   |   |   |   |   |   |   |   |   |   | Accounting Journal Extract between two Dates |  |  |  | 0 |  |  | 0 | 0
  |   | REC_BDF_MX_ACJ |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_MX_30            | FD_ACJD |   |   |   | ACJD_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACJD.REP | 46 | DYN_ACJD             | Murex | Accounting (Reporting) | 41 |   |   | N | Detailed DBF | 9 | 8 | 9 |   |   |   |   |   |                                                                  | Murex Standard Report | Batch Data Feeder for ACJD.REP |  |  | 0 |  |  | 0 | 0
MXG_EOD_INTERFACE    | 0 | BDF_HLMY_TRNPC | 0 HRS:2 MINS :19.8 SECS | 20140315 | 4ISDOPS              |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | BSPL                 | FD_ACJS |   |   |   | ACJS_REF_DATA(REF_DATA),M_MX_REF_JOB_IDX1(MX_REF_JOB) |   |   |   | FEEDERS | ACJS.REP | 10 | DYN_ACJS             | Murex | Copy Creation | 6 |   |   | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date -21 OD (COMMON) |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | Murex Standard Report | Processing Center details for PLBS Reports |  |                      | 0 |  |  | 0 | 0
  |   | BDF_ACJS_MX |   |   |   | NS ,NS ,NS  |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_ACJS             | FD_ACJS |   |   |   | ACJS_REF_DATA(REF_DATA),M_MX_REF_JOB_IDX1(MX_REF_JOB) |   |   |   | FEEDERS | ACJS.REP | 10 | DYN_ACJS             | Murex | Copy Creation | 6 |   |   | N | Detailed DBF | NS | Reporting Shifter Date -1 OD(COMMON) | Reporting Date -21 OD (COMMON) |   |   | EN_DATE=DENV('CRT_BND12').OR.EN_DATE=DENV('CRT_BND11')           |   |   |                                                                  | Murex Standard Report | BDF_ACJS for MX Standard | NONE                 |  | 0 |  |  | 0 | 0
