PORTFOLIO            | 16 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
PL_KEY1              | 30 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
PL_INSCUR            | 3 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
PL_CLEAN             | 20 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
PL_CAP_RE            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
PL_ACC               | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
ORIG_NB              | 16 | 0 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
NB                   | 16 | 0 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
MKT_CUR              | 4 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
DISC_CG              | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CNT_TYPO             | 21 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CNT_DSC              | 51 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_PVE               | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_MV_REV            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_MV_CAP            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_FIN               | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_CS_REV            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_ADD_FE            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
CG_CS_CAP            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
BD_CAP_FA            | 23 | 6 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | Simulation
USER_CUR             | 3 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
TRN_TYPE             | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
TRN_GRP              | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
TRN_FMLY             | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
SC2_PL_UC            | 16 | 11 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
SC2_PL_MK            | 10 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
RSKSECTION           | 20 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
POS_ID               | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_KEY1              | 30 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_INSCUR            | 3 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_CLEAN             | 20 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_CAP_RE            | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_ACCR              | 17 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
PL_ACC               | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
ORIG_NB              | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
NB                   | 16 | 0 | Numeric | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
MKT_CUR              | 4 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
INSTRUMENT           | 35 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
DISC_CG              | 23 | 6 | American | ACG_PL.REP           | DYN_ACG_PL           | Murex | Simulation
