AREA_VAL12           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL13           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL14           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL15           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL16           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL17           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL18           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL19           | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL2            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL3            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL4            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL5            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL6            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL7            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL8            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA_VAL9            | 15 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
LABEL_GL             | 20 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
LABEL_SUB            | 20 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
LABEL                | 40 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
DESC                 | 100 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
NB_BS                | 1 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
NB_REVERSE           | 1 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
EN_CUR               | 3 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
TYPE_NB              | 3 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
X_CUR                | 3 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
NB_AMD               | 3 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_AMDTRN            | 3 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_TRN_QTY           | 3 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
AVP_CAT              | 4 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
TRN_FMLY             | 5 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
TRN_GRP              | 5 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
TRN_TYPE             | 5 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
NB_RULE              | 6 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
EN_DATE              | 8 | 0 | Date | ACC.REP              | DYN_ACC              | User | 
PAY_DAT              | 8 | 0 | Date | ACC.REP              | DYN_ACC              | User | 
SYS_DATE             | 8 | 0 | Date | ACC.REP              | DYN_ACC              | User | 
VAL_DATE             | 8 | 0 | Date | ACC.REP              | DYN_ACC              | User | 
ACC_SEC              | 10 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
ENTITY               | 10 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
ID_CREDIT            | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
ID_DEBIT             | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB                   | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_MOP               | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_PREV              | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
NB_TRN               | 10 | 0 | Numeric | ACC.REP              | DYN_ACC              | User | 
EN_CREDIT            | 20 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
EN_DEBIT             | 20 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
EN_COMMENT           | 50 | 0 | Char | ACC.REP              | DYN_ACC              | User | 
EN_AMT               | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
FD_BALC              | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
FD_BALC_C            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
FD_BALC_D            | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
FD_BALD              | 19 | 2 | Numeric | ACC.REP              | DYN_ACC              | User | 
