,H_PCLEANFW,Numeric,1
DYN_TRNRP_CS,F_PHASE,Numeric,10
DYN_TRNRP_MV,TP_FXSWLEG,Char,5
,PL_CSRNF0,American,1
DYN_TRNRP_MV,TP_FXHSPT,Numeric,1
DYN_TRNRP_SV,TP_RTMFRP0,Char,3
DYN_TRNRP_SV,TP_RTMFRP1,Char,1
DYN_TRNRP_PL,H_MOPRATE,Numeric,1
DYN_TRNRP_PL,H_MTMFX,Numeric,6
Collateral,TRADEDESK,Char,1
DYN_TRNRP_MV,SC2_PLI_AC,Numeric,1
Data Dictionary (Market Data Loader),TENORLABE,Char,1
Simulation,PAST_CF,American,1
Simulation,HI_KO_DAT,Char,1
DYN_TRNRP_PL,TP_IPAYCVC,Char,23
DYN_TRNRP_PL,PRLINACR11,American,5
DYN_TRNRP_CS,F_STRTYPO,Char,3
DYN_TRNRP_PL,TP_SALES_P,Numeric,2
Accounting (Reporting),TYPE_NB,Char,1
DYN_TRNRP_PL,TP_SALES_Y,Numeric,3
Copy Creation,DCONV_SHIF,Char,1
DYN_TRNRP_PL,TP_RTDCN10,Date,3
DYN_TRNRP_PL,TP_RTDCN11,Date,3
DYN_TRNRP_PL,TP_RTDCN12,Date,4
DYN_TRNRP_PL,D_BUY_CCY,Char,1
DYN_TRNRP_CS,D_BUYCCY,Char,1
DYN_TRNRP_PL,SWAPSWIRE,Numeric,1
DYN_TRNRP_PL,DT_SKIP06,Date,2
DYN_TRNRP_PL,H_3MP,Date,1
DYN_TRNRP_PL,DT_SKIP01,Date,1
DYN_TRNRP_PL,DT_SKIP02,Date,1
DYN_TRNRP_PL,H_STDTESHF,Char,6
Simulation,ASK,Numeric,7
DYN_TRNRP_PL,H_3MF,Date,1
DYN_TRNRP_PL,D_PAY_REC,Numeric,1
Copy Creation,SE_CODE,Char,1
MRA,VAR1_ALL,Numeric,1
DYN_TRNRP_PL,H_3M3,Date,1
DYN_TRNRP_PL,H_3M2,Date,1
DYN_TRNRP_PL,H_3M1,Date,1
DYN_TRNRP_PL,H_3M6,Date,1
DYN_TRNRP_PL,H_3M5,Date,1
DYN_TRNRP_PL,H_3M4,Date,1
DYN_TRNRP_CS,TP_STATUS2,Char,30
DYN_TRNRP_CS,TP_STATUS0,Char,2
DYN_TRNRP_PL,NB,Numeric,327
DYN_TRNRP_PL,TP_RTDXP00,Date,9
DYN_TRNRP_PL,TP_RTDXP01,Date,9
DYN_TRNRP_PL,TP_RTDXP02,Date,15
DYN_TRNRP_DT,TP_MOPLST,Numeric,4
DYN_TRNRP_PL,TP_IPAYDTE,Date,72
Collateral,GAMMA_LMTT,Char,2
Copy Creation,FX_OPTION,Char,1
33,DF_REF,Numeric,1
DYN_TRNRP_MK,D_D2,Date,1
DYN_TRNRP_MK,D_D1,Date,1
Simulation,BUC_GAMMA,American,1
DYN_TRNRP_CS,PL_KEY1,Char,7
DYN_TRNRP_MV,H_ISS_LBL,Char,4
Simulation,INDEX_LAB,Char,2
51,OURSELVES,Char,2
DYN_TRNRP_CS,F_CCNOM,American,43
DYN_TRNRP_PL,D_NITE_DT,Date,1
Simulation,DV01__ZE1,American,1
Simulation,POSITIONI,Numeric,2
DYN_TRNRP_PL,H_REF_V,Numeric,1
DYN_TRNRP_PL,SC2_RT0USD,Numeric,1
,PL_CLCSPOT,Char,1
DYN_TRNRP_MK,TP_DTEFLWL,Date,1
49,MATURITY_,Numeric,1
DYN_TRNRP_MK,TP_DTEFLWF,Date,1
Copy Creation,SPTCVBU2,Numeric,1
Copy Creation,SPTCVBU0,Numeric,1
Copy Creation,SPTCVBU1,Numeric,1
DYN_TRNRP_PL,PL_ASS2,American,7
DYN_TRNRP_PL,PL_ASS0,American,5
DYN_TRNRP_PL,PL_ASS1,American,5
DYN_TRNRP_PL,TP_DTECPN,Date,26
34,PRODUCT_T,Char,3
DYN_TRNRP_MV,TP_CMLNAT0,Char,1
DYN_TRNRP_MK,TP_UQTYEQ,Char,1
DYN_TRNRP_PL,TP_CNTRPLB,Char,5
DYN_TRNRP_MK,TP_CMILAB0,Char,1
DYN_TRNRP_MK,TP_CMILAB1,Char,1
Simulation,RHOF,American,2
,EVT_CAPEXC,Char,1
Deliverable nostro cash,DF_ENT,Char,4
Collateral,ISCALL,,1
,TRN_TYPE,Char,10
Simulation,TP_CNTRP,Char,8
Simulation,DV01__ZER,American,58
Simulation,TRADE_PO1,Numeric,1
PL VAR,ORIGIN_RE,Numeric,12
DYN_TRNRP_MV,CONTR_ID,Char,10
Simulation,DV01_BASI,American,2
DYN_TRNRP_PL,DDATE,Char,1
Simulation,MV_CORP,American,1
Simulation,CALL_PUT,Char,19
Collateral,LIMIT_SHOR,Numeric,1
34,RESULT_CU,Char,34
DYN_TRNRP_PL,ORG_NOM,Numeric,2
DYN_TRNRP_PL,D_DTD_MTM,American,1
DYN_TRNRP_MK,INSTRLABEL,Char,3
DYN_TRNRP_CS,TP_DTETRN,Date,36
DYN_TRNRP_PL,H_XPOPTFPQ,Char,1
Liquidation Positions,PREM_DISC,American,2
Copy Creation,LABEL_SUB,Char,1
Copy Creation,D_L,Char,1
Collateral,MLCHQ_BRAN,,1
Simulation,GK_INSTRU,Char,5
DYN_TRNRP_CS,F_DTEEVENT,Date,22
DYN_TRNRP_CS,TP_RTMNDX1,Char,1
DYN_TRNRP_CS,TP_RTMNDX0,Char,1
Simulation,ACCTPLGBP,American,1
DYN_TRNRP_CS,F_CCCURFLG,Char,6
DYN_TRNRP_CS,D_FEE,American,1
DYN_TRNRP_PL,NB1,Numeric,5
DYN_TRNRP_PL,PACKAGE,Numeric,74
DYN_TRNRP_PL,SF_PLSGDRT,Numeric,1
Collateral,PUTILIZAT1,Numeric,4
Collateral,PUTILIZAT0,Numeric,6
,MK_DTE,Date,1
Collateral,PUTILIZAT2,Numeric,1
DYN_TRNRP_CS,FX_PLSCURY,American,1
DYN_TRNRP_PL,G_INS_WRK,Char,7
DYN_TRNRP_PL,H_BUY_SELL,Char,1
Deliverable Cash,DF_PSDATE,Date,1
DYN_TRNRP_CS,F_FXCLS,Char,11
DYN_TRNRP_MV,H_ISIN,Char,2
,MV_NFMVCL1,American,2
Simulation,D_11M,Date,1
DYN_TRNRP_MV,TP_RTVNF00,American,2
Simulation,REVEN_CNV,American,17
DYN_TRNRP_XG,XG_BOFFSET,Numeric,2
,CSNFR_CAP,Numeric,1
Simulation,ACCRUEDOL,Numeric,1
Simulation,TODAYPAST,American,5
DYN_TRNRP_DT,H_NXTCPN,Char,1
Simulation,CURVE_NAM,Char,97
Copy Creation,PC_CODE,Char,1
SQL,D_SPT_INR,Numeric,1
Hedge,ACCOUNTIN,Char,1
Copy Creation,FST_START,Char,1
,DLV_CUR,Char,1
DYN_TRNRP_CS,TP_SECAMT,American,1
DYN_TRNRP_PL,H_SETTLE,Char,2
Payments,PF_STATUS,Char,1
Navigation templates,COMMANDID,Numeric,5
DYN_TRNRP_PL,SELL_AMT,Numeric,1
Simulation,FORMULA_C,Char,3
Copy Creation,SE_MARKET,Char,3
Copy Creation,BID,Numeric,3
DYN_TRNRP_PL,WK_MEND1HK,Numeric,1
DYN_TRNRP_CS,H_TRN_TYPE,Char,2
Collateral,DAILY_MV,Numeric,1
DYN_TRNRP_PL,TP_MOPCRT,Numeric,1
51,XSUM_DET,Char,2
PL VAR,AMD_STS,Char,3
,EVT_UZTYPE,Char,1
DYN_TRNRP_PL,H_TYPE,Char,2
DYN_TRNRP_PL,TP_FXQTOCU,Char,4
Simulation,_2Y,American,2
DYN_TRNRP_MV,CMX_FFP2,American,1
DYN_TRNRP_PL,H_AACR_GBP,Numeric,2
DYN_TRNRP_PL,MKT_PRICE1,Numeric,1
DYN_TRNRP_PL,MKT_PRICE2,Numeric,1
DYN_TRNRP_PL,TP_SPOTN,Char,5
DYN_TRNRP_PL,SC1_IR2_PL,Numeric,1
,AMNT_CAT,Char,1
DYN_TRNRP_MK,TP_TIMSYS,Char,4
Simulation,PAST_AND1,American,1
