Dynamic table type,Dynamic table field,field type,dbs.csv,hsbc.csv,taishin.csv,uob.csv,vietin.csv,woori.csv
DYN_TRNRP_PL,PAY_STUB,Char,0,1,0,0,0,0
DYN_TRNRP_MK,PL_MVCF2,American,1,0,0,0,0,0
DYN_TRNRP_PL,H_SCMNT0,Char,1,0,0,0,0,0
DYN_TRNRP_MK,PL_MVCF0,American,1,0,0,0,0,0
DYN_TRNRP_MK,PL_MVCF1,American,1,0,0,0,0,0
DYN_TRNRP_PL,H_PCDATE,Char,0,5,0,0,0,0
34,SIMPLE_PO,Char,249,0,0,34,0,7
DYN_TRNRP_MV,TP_ROOTCNT,Numeric,0,0,3,1,1,0
Copy Creation,MARKET,Char,1,0,0,0,0,0
DYN_TRNRP_PL,TP_RTXCHI,Char,8,9,0,0,2,4
,MK_ORIGIN,Char,0,1,0,0,0,0
DYN_TRNRP_PL,TP_RTXCHF,Char,8,9,0,0,0,4
Copy Creation,BTRADER,Char,1,0,0,0,0,0
DYN_TRNRP_DT,TP_INITSD,Char,2,2,0,0,0,0
DYN_TRNRP_CS,F_QTY_IDX,Numeric,10,0,0,0,0,0
Simulation,PAST_FLO1,American,0,0,0,0,0,1
DYN_TRNRP_PL,D_OURCMNT0,Char,1,0,0,0,0,0
Deliverable Cash,DF_EDATE,Date,2,0,0,0,0,0
Simulation,PAR_BPV__,American,0,0,0,0,0,4
DYN_TRNRP_MV,CMX_FMV2,American,0,0,0,0,0,1
DYN_TRNRP_PL,H_DIFF_VND,Numeric,0,0,0,0,1,0
Copy Creation,D_CONVR,Numeric,1,0,0,0,0,0
Simulation,CR01__PAR,American,0,0,0,3,0,0
Simulation,PAST_REVE,American,2,5,3,3,0,0
DYN_TRNRP_MK,CNTLEVTAC1,Numeric,1,0,0,0,0,0
,TRN_ENT,Char,0,1,0,0,0,0
DYN_TRNRP_PL,H_1MF_PREV,Date,1,0,0,0,0,0
DYN_TRNRP_PL,TP_SECLBLU,Char,1,12,1,2,1,2
Simulation,CREDIT_AC,Char,0,0,0,1,0,0
DYN_TRNRP_MK,V_EVTSTLCV,Numeric,0,0,1,1,1,1
Deliverable Cash,DF_TYPE3,Char,2,0,2,0,0,1
Deliverable Cash,DF_TYPE2,Char,2,0,2,0,0,1
Deliverable Cash,DF_TYPE1,Char,2,0,2,0,0,1
Deliverable Cash,DF_TYPE0,Char,2,0,2,0,0,1
Deliverable Cash,DF_TYPE4,Char,2,0,2,0,0,1
Payments,INTERDEPT,Char,1,0,0,0,0,0
Simulation,I_CODE,Char,0,0,0,0,0,1
DYN_TRNRP_MV,H_ORIGFC,Char,0,0,0,0,1,0
Simulation,PAYOUTFOR,Char,1,0,0,0,0,0
Simulation,SCHEDLABE,Char,0,5,0,0,0,0
DYN_TRNRP_MK,V_DATE,Date,3,4,5,2,11,2
DYN_TRNRP_CS,CS_DATE1,Date,3,0,0,0,0,0
DYN_TRNRP_CS,CS_DATE2,Date,3,0,0,0,0,0
Simulation,PAST_FLOW,American,0,0,0,0,0,1
Simulation,DF,American,0,0,0,0,0,1
DYN_TRNRP_PL,TZ_AMT,Numeric,1,0,0,0,0,0
DYN_TRNRP_DT,INSTRLABEL,Char,3,0,0,0,0,0
Collateral,POOL,Char,0,0,0,0,0,8
Simulation,VOLTYPE,Char,0,0,0,0,0,2
,CG_CS_CAP,American,0,0,0,0,0,2
Copy Creation,USR_GROUP,Char,2,1,0,0,0,0
Simulation,INSERTION,Date,0,0,3,0,0,0
Simulation,GROUP1,Char,0,1,0,0,0,0
Simulation,MTMCS100P,American,0,1,0,0,0,0
DYN_TRNRP_PL,NOMINAL,American,0,2,0,0,0,0
Simulation,N_7M_DR,Numeric,1,0,0,0,0,0
,TP_SECLBL,Char,0,1,0,0,0,0
